posting_id,posted_on,title,seniority,city,country,remote,salary_min_usd,salary_max_usd,company_size,skills
J70781,2023-01-01,Junior Data Analyst,junior,New York,US,remote,65000,86500,midmarket,looker|excel|statistics|tableau|sql
J72149,2023-01-01,Data Analyst,mid,Chicago,US,hybrid,76500,102000,scaleup,statistics|looker|excel|python|tableau
J72672,2023-01-01,Analytics Engineer,mid,London,GB,remote,,,midmarket,python|dbt|airflow
J73484,2023-01-01,Senior Machine Learning Engineer,senior,Bengaluru,IN,onsite,58500,78000,scaleup,python|aws|sql|pytorch
J70384,2023-01-02,Junior BI Developer,junior,San Francisco,US,remote,74500,99500,midmarket,modelling|power bi|sql|excel|dax
J70907,2023-01-02,Data Analyst,mid,Austin,US,onsite,76500,102000,enterprise,excel|looker|python|tableau
J72896,2023-01-02,Junior Data Analyst,junior,New York,US,hybrid,66500,89000,enterprise,tableau|statistics|python|excel|sql
J71263,2023-01-03,Senior Machine Learning Engineer,senior,Bengaluru,IN,hybrid,,,enterprise,kubernetes|aws|pytorch|python|sql
J72365,2023-01-03,Junior Data Platform Engineer,junior,New York,US,onsite,,,scaleup,aws|observability|terraform
J70162,2023-01-04,Senior Data Analyst,senior,Chicago,US,remote,86500,115500,scaleup,sql|python|looker|statistics|excel|tableau
J70848,2023-01-04,Junior Research Scientist,junior,London,GB,hybrid,84000,112000,scaleup,pytorch|jax|research|statistics
J72504,2023-01-04,Junior Data Analyst,junior,Bengaluru,IN,remote,18000,24000,scaleup,sql|statistics|python|excel
J70406,2023-01-05,Junior Data Analyst,junior,Bengaluru,IN,onsite,18000,24000,scaleup,python|excel|looker
J70564,2023-01-05,Senior Data Analyst,senior,Toronto,CA,remote,75500,100500,enterprise,sql|tableau|statistics|excel|looker
J70829,2023-01-05,Staff Machine Learning Engineer,staff,Austin,US,hybrid,195500,261000,startup,pytorch|mlflow|kubernetes|sql|aws|python
J71044,2023-01-05,Senior Data Analyst,senior,Bengaluru,IN,remote,31000,41500,enterprise,excel|looker|statistics|python
J71424,2023-01-05,Data Analyst,mid,San Francisco,US,remote,96500,129000,scaleup,statistics|python|excel|sql|tableau
J71833,2023-01-05,Junior BI Developer,junior,Chicago,US,remote,59500,79500,startup,power bi|dax|modelling|excel|sql
J72692,2023-01-05,Data Engineer,mid,Bengaluru,IN,remote,,,enterprise,python|aws|kafka|terraform
J73004,2023-01-05,Senior Data Analyst,senior,London,GB,remote,76500,102000,startup,looker|python|statistics|sql|excel|tableau
J72147,2023-01-07,Data Platform Engineer,mid,San Francisco,US,hybrid,164000,218500,startup,observability|aws|kubernetes|python
J72162,2023-01-07,Data Platform Engineer,mid,London,GB,hybrid,104000,138500,midmarket,python|spark|terraform|aws|observability
J72782,2023-01-08,Data Analyst,mid,New York,US,remote,93000,124000,scaleup,excel|tableau|statistics|sql|python|looker
J72972,2023-01-08,Data Engineer,mid,San Francisco,US,onsite,142000,189000,enterprise,terraform|aws|sql|spark|python|kafka
J73195,2023-01-08,Senior Data Scientist,senior,Bengaluru,IN,hybrid,45000,60000,startup,statistics|experimentation|pytorch|pandas|sql
J71720,2023-01-09,Junior Data Engineer,junior,Chicago,US,onsite,76500,102000,midmarket,sql|terraform|spark|python|aws|airflow
J73313,2023-01-09,Junior Analytics Engineer,junior,Bengaluru,IN,hybrid,,,midmarket,sql|python|git|dbt
J71776,2023-01-10,Lead Machine Learning Engineer,lead,New York,US,hybrid,251000,334500,scaleup,python|mlflow|kubernetes
J72533,2023-01-10,Senior Data Engineer,senior,São Paulo,BR,remote,,,scaleup,python|spark|aws|sql|kafka|terraform
J70445,2023-01-11,Senior Analytics Engineer,senior,London,GB,remote,113000,150500,scaleup,airflow|snowflake|sql|python|git
J71025,2023-01-11,Machine Learning Engineer,mid,San Francisco,US,hybrid,155000,206500,midmarket,pytorch|kubernetes|aws
J72631,2023-01-11,Junior Data Engineer,junior,San Francisco,US,remote,115000,153500,scaleup,sql|python|spark|terraform
J72172,2023-01-12,Senior Data Analyst,senior,Berlin,DE,remote,68000,90500,scaleup,sql|statistics|looker|excel
J73435,2023-01-12,Senior Analytics Engineer,senior,Chicago,US,hybrid,120000,160000,midmarket,python|dbt|snowflake|airflow|sql
J70030,2023-01-13,Research Scientist,mid,London,GB,remote,,,midmarket,pytorch|research|jax|python|statistics
J70379,2023-01-13,Junior Data Analyst,junior,Amsterdam,NL,hybrid,40500,54000,startup,tableau|looker|python
J70496,2023-01-13,Senior Data Engineer,senior,Amsterdam,NL,hybrid,114500,152500,enterprise,aws|kafka|airflow|python
J70512,2023-01-13,Data Analyst,mid,New York,US,onsite,93000,124000,scaleup,excel|tableau|sql
J70531,2023-01-13,Data Scientist,mid,New York,US,hybrid,128500,171500,enterprise,pandas|sql|pytorch|statistics|experimentation
J70834,2023-01-13,Senior Data Engineer,senior,Bengaluru,IN,hybrid,43000,57500,midmarket,kafka|sql|spark|python|aws
J71888,2023-01-13,Data Scientist,mid,Amsterdam,NL,onsite,86000,114500,scaleup,pandas|statistics|python|pytorch
J72137,2023-01-13,Staff Data Engineer,staff,London,GB,hybrid,139500,186000,midmarket,kafka|python|sql
J72660,2023-01-13,Senior Data Engineer,senior,New York,US,hybrid,174500,233000,enterprise,kafka|spark|terraform|aws|sql
J70556,2023-01-14,BI Developer,mid,Toronto,CA,remote,,,scaleup,dax|excel|power bi|sql|modelling
J70723,2023-01-14,Analytics Engineer,mid,Bengaluru,IN,hybrid,34000,45500,enterprise,airflow|dbt|python
J72028,2023-01-14,Data Engineer,mid,New York,US,onsite,126000,168500,scaleup,aws|kafka|terraform
J71551,2023-01-15,Junior BI Developer,junior,Toronto,CA,onsite,,,enterprise,modelling|sql|power bi|dax
J72169,2023-01-15,Senior Machine Learning Engineer,senior,Bengaluru,IN,hybrid,,,scaleup,pytorch|python|mlflow
J73008,2023-01-15,Data Scientist,mid,Chicago,US,remote,115000,153000,enterprise,python|statistics|pandas
J71541,2023-01-16,Senior Data Engineer,senior,London,GB,remote,,,enterprise,spark|aws|sql|airflow|python
J70107,2023-01-17,Data Analyst,mid,New York,US,remote,96500,128500,enterprise,sql|excel|statistics|looker
J70735,2023-01-17,Junior Data Scientist,junior,Toronto,CA,remote,64000,85000,midmarket,python|pandas|pytorch|sql|statistics|experimentation
J71085,2023-01-17,Lead Data Analyst,lead,Berlin,DE,hybrid,97500,130000,midmarket,statistics|looker|python|sql
J72399,2023-01-17,Lead Data Analyst,lead,Berlin,DE,hybrid,,,enterprise,looker|excel|statistics|tableau|sql|python
J72773,2023-01-17,Data Scientist,mid,Chicago,US,remote,,,enterprise,statistics|pytorch|pandas|experimentation
J72944,2023-01-17,BI Developer,mid,Bengaluru,IN,hybrid,25500,34500,enterprise,dax|excel|power bi|modelling
J70988,2023-01-18,Junior Analytics Engineer,junior,São Paulo,BR,remote,27500,36500,startup,snowflake|git|python
J71366,2023-01-18,BI Developer,mid,New York,US,hybrid,95500,127000,scaleup,dax|excel|modelling|power bi
J72663,2023-01-18,Junior Data Analyst,junior,London,GB,onsite,,,midmarket,statistics|sql|python|looker|excel|tableau
J73351,2023-01-18,Data Analyst,mid,London,GB,hybrid,,,scaleup,sql|statistics|looker|tableau
J70241,2023-01-19,Staff Data Scientist,staff,San Francisco,US,hybrid,215000,286500,midmarket,python|pytorch|pandas|sql|statistics|experimentation
J71633,2023-01-19,Staff Data Analyst,staff,New York,US,hybrid,132000,175500,midmarket,python|excel|looker|tableau|statistics|sql
J71779,2023-01-19,Junior Machine Learning Engineer,junior,Toronto,CA,hybrid,82500,110000,startup,kubernetes|aws|sql|mlflow
J71954,2023-01-19,Data Engineer,mid,Amsterdam,NL,onsite,,,enterprise,aws|terraform|sql|spark
J72327,2023-01-19,BI Developer,mid,Bengaluru,IN,hybrid,,,enterprise,excel|sql|power bi
J73060,2023-01-19,Machine Learning Engineer,mid,Amsterdam,NL,onsite,98000,130500,midmarket,kubernetes|pytorch|sql|mlflow
J73092,2023-01-19,Senior Data Engineer,senior,New York,US,hybrid,165500,221000,scaleup,spark|kafka|terraform|python|aws
J70624,2023-01-20,Junior Data Scientist,junior,Amsterdam,NL,remote,72000,96000,scaleup,pandas|sql|statistics|python
J71785,2023-01-20,Senior Data Analyst,senior,Chicago,US,hybrid,96000,128000,startup,sql|statistics|python|looker|excel
J71470,2023-01-21,Research Scientist,mid,Chicago,US,remote,143000,191000,scaleup,statistics|research|pytorch|jax
J72315,2023-01-21,Lead Data Platform Engineer,lead,Bengaluru,IN,hybrid,64500,86000,scaleup,python|observability|terraform|aws
J70259,2023-01-22,Data Analyst,mid,Toronto,CA,onsite,55000,73500,enterprise,excel|looker|tableau|python|sql|statistics
J70369,2023-01-22,Junior Data Engineer,junior,Austin,US,onsite,86000,115000,scaleup,terraform|kafka|airflow
J71818,2023-01-22,Senior BI Developer,senior,San Francisco,US,onsite,126000,168000,midmarket,sql|excel|dax|power bi
J72519,2023-01-22,Machine Learning Engineer,mid,New York,US,hybrid,150500,200500,scaleup,aws|kubernetes|pytorch|sql|python
J72576,2023-01-22,Data Engineer,mid,Toronto,CA,hybrid,82000,109500,startup,sql|kafka|airflow|spark|python
J73480,2023-01-22,Junior Data Engineer,junior,Berlin,DE,hybrid,,,enterprise,spark|terraform|airflow|kafka
J70998,2023-01-23,Senior Analytics Engineer,senior,São Paulo,BR,hybrid,,,scaleup,sql|airflow|dbt|git|python
J71712,2023-01-23,Data Analyst,mid,São Paulo,BR,hybrid,27000,36000,enterprise,excel|python|statistics|sql
J72640,2023-01-24,Senior Data Scientist,senior,New York,US,remote,191500,255500,enterprise,python|statistics|sql
J72709,2023-01-24,Junior Data Scientist,junior,San Francisco,US,remote,113500,151000,midmarket,pandas|statistics|pytorch|python|experimentation|sql
J70609,2023-01-25,Staff Machine Learning Engineer,staff,San Francisco,US,onsite,247000,329000,midmarket,sql|python|mlflow
J70835,2023-01-25,Junior Analytics Engineer,junior,Berlin,DE,onsite,57500,77000,enterprise,python|git|snowflake|dbt|sql
J72953,2023-01-25,Data Engineer,mid,Bengaluru,IN,onsite,,,scaleup,airflow|kafka|aws|python
J71335,2023-01-26,Senior Data Engineer,senior,London,GB,remote,,,startup,kafka|sql|terraform
J70054,2023-01-27,Senior Data Analyst,senior,New York,US,onsite,110500,147500,enterprise,tableau|python|statistics|looker
J71221,2023-01-27,Data Analyst,mid,São Paulo,BR,onsite,,,scaleup,sql|python|statistics
